,SIF_aveSimilarity
Transformation-rotation (34),0.153714867571
Geometry-line-2 (10),0.0655184124202
Series-Arithmetic (43),-0.0259453718447
Geometry-Diagonals (22),0.146460480829
Geometry-axialsymmetry-vertical- (28),0.0341947216566
Geometry-Midpoint (19),0.0445036792506
Geometry-Convexity (9),0.110056186071
Geometry-line-3 (11),-0.0239761392854
Geometry-Chirality-4 (44),0.10304910405
Geometry-Parallelogram (25),0.111098743319
Geometry-Proportions (39),-0.0406992564432
Topology-Inside-Outside (4),0.0273994437907
Geometry-Rightangle-3 (15),0.112472254878
Geometry-Equilateraltriangle (20),0.146825906196
Geometry-Chirality-2 (41),-0.0229088015107
Geometry-Chirality-1- (38),0.00307488127048
Transformation-axialsymmetry-vertical (27),0.00837766030834
Geometry-Rightangle-1 (13),0.14069492788
Geometry-Circle-2- (18),0.0108368911762
Transformation-axialsymmetry-horizontal (33),0.00037720970461
Transformation-axialsymmetry-mixed (35),0.0194541061079
Geometry-Distance (16),-0.0201958557385
Topology-Holes (3),0.0233450188983
Geometry-Proportion1-3 (21),-0.0379600740407
Topology-Closure (5),-0.0243449000912
Transformation-homothety (36),0.14606493161
Geometry-Parallels-1- (37),0.309186598367
Geometry-Trapezoid (26),0.0683244342245
Geometry-Chirality-3 (42),0.0203433577602
Geometry-line-1 (8),0.328370790559
Geometry-Rectangle (24),-0.00936478328646
Geometry-Square (23),0.288616809141
Geometry-axialsymmetry-randomaxis (30),0.0105543446062
Transformation-translation (31),0.17394195297
Geometry-Rightangle-2 (14),0.115194676399
Topology-Connexity (6),0.0901808701286
Geometry-axialsymmetry-horizontal (29),-0.000779385091899
Topology-Belongsto (7),0.296464821101
Geometry-Quadrilateral (12),0.0296532453716
Geometry-Parallels-2 (40),0.0314450774181
Series-Geometric (45),0.018565688779
Transformation-pointsymmetry (32),0.168692031387
