,numWordsAve,numNounsAve,numAdjAve,numAdvAve,numNumbersAve
Topology-Holes,3.6666666666666665,2.2,0.2,0.0,0.0
Topology-Inside-Outside,3.3333333333333335,1.8666666666666667,0.3333333333333333,0.2,0.0
Topology-Closure,2.8666666666666667,0.9333333333333333,0.3333333333333333,0.7333333333333333,0.0
Topology-Connexity,2.533333333333333,0.9333333333333333,0.2,0.2,0.9333333333333333
Topology-Belongsto,4.066666666666666,1.7333333333333334,0.13333333333333333,0.8666666666666667,0.0
Geometry-line-1,2.066666666666667,0.8,0.26666666666666666,0.13333333333333333,0.0
Geometry-Convexity,2.6,1.2,0.3333333333333333,0.06666666666666667,0.06666666666666667
Geometry-line-2,2.1333333333333333,1.0,0.06666666666666667,0.13333333333333333,0.0
Geometry-line-3,4.733333333333333,1.9333333333333333,0.3333333333333333,0.7333333333333333,0.0
Geometry-Quadrilateral,2.1333333333333333,0.9333333333333333,0.26666666666666666,0.4,0.4
Geometry-Rightangle-1,2.8,1.4,0.6666666666666666,0.4,0.13333333333333333
Geometry-Rightangle-2,3.466666666666667,1.2,0.6666666666666666,0.5333333333333333,0.2
Geometry-Rightangle-3,3.8666666666666667,1.3333333333333333,1.0,0.5333333333333333,0.13333333333333333
Geometry-Dtance,3.8,1.6,0.26666666666666666,1.0666666666666667,0.0
Geometry-Circle-2-,3.8666666666666667,1.6,0.4666666666666667,0.7333333333333333,0.0
Geometry-Midpoint,4.0,1.7333333333333334,0.4,0.6,0.13333333333333333
Geometry-Equilateraltriangle,3.1333333333333333,1.2666666666666666,0.5333333333333333,0.4666666666666667,0.06666666666666667
Geometry-Proportion1-3,3.933333333333333,1.7333333333333334,0.3333333333333333,0.6,0.13333333333333333
Geometry-Diagonals,3.6,1.6,0.9333333333333333,0.3333333333333333,0.0
Geometry-Square,1.8,1.0,0.0,0.3333333333333333,0.0
Geometry-Rectangle,2.3333333333333335,1.0,0.4666666666666667,0.3333333333333333,0.06666666666666667
Geometry-Parallelogram,2.6666666666666665,1.2666666666666666,0.6666666666666666,0.2,0.2
Geometry-Trapezoid,2.8,1.0666666666666667,0.6666666666666666,0.26666666666666666,0.2
Transformation-axialsymmetry-vertical,4.266666666666667,1.5333333333333334,1.0,0.4666666666666667,0.0
Geometry-axialsymmetry-vertical-,3.4,1.0666666666666667,0.7333333333333333,0.5333333333333333,0.06666666666666667
Geometry-axialsymmetry-horizontal,3.533333333333333,1.2666666666666666,0.6666666666666666,0.5333333333333333,0.0
Geometry-axialsymmetry-randomax,4.533333333333333,1.6666666666666667,0.9333333333333333,0.6,0.0
Transformation-translation,4.266666666666667,1.3333333333333333,0.8666666666666667,0.4,0.13333333333333333
Transformation-pointsymmetry,4.133333333333334,2.2,0.5333333333333333,0.2,0.06666666666666667
Transformation-axialsymmetry-horizontal,3.933333333333333,1.5333333333333334,0.3333333333333333,0.6666666666666666,0.0
Transformation-rotation,4.2,1.7333333333333334,0.8,0.13333333333333333,0.2
Transformation-axialsymmetry-mixed,3.4,1.4666666666666666,0.7333333333333333,0.3333333333333333,0.0
Transformation-homoty,4.266666666666667,1.6666666666666667,0.6,0.4,0.0
Geometry-Parallels-1-,3.3333333333333335,1.0666666666666667,0.13333333333333333,0.7333333333333333,0.2
Geometry-Chirality-1-,3.533333333333333,1.5333333333333334,0.6,0.3333333333333333,0.0
Geometry-Proportions,4.2,1.4666666666666666,1.2,0.4666666666666667,0.2
Geometry-Parallels-2,2.3333333333333335,1.6666666666666667,0.13333333333333333,0.2,0.13333333333333333
Geometry-Chirality-2,3.6,1.8,0.4666666666666667,0.26666666666666666,0.0
Geometry-Chirality-3,4.0,1.7333333333333334,0.6,0.13333333333333333,0.26666666666666666
Series-Arithmetic,4.2,1.4666666666666666,0.6,0.7333333333333333,0.26666666666666666
Geometry-Chirality-4,3.6,1.3333333333333333,0.6666666666666666,0.4,0.26666666666666666
Series-Geometric,4.533333333333333,1.6,0.6666666666666666,0.2,0.4666666666666667
