,semanticSim
diff(10),0.60550557407
diff(11),0.550747494816
diff(12),0.329215419933
diff(13),0.395652874318
diff(14),0.31645672283
diff(15),0.425655947639
diff(16),0.468314406136
diff(18),0.472090786926
diff(19),0.536148154775
diff(20),0.338096950496
diff(21),0.414821998217
diff(22),0.275503960816
diff(23),0.594593579702
diff(24),0.353742562427
diff(25),0.230930490427
diff(26),0.328648504466
diff(27),0.273453478656
diff(28),0.154485525478
diff(29),0.242864179013
diff(3),0.585054813407
diff(30),0.235403177086
diff(31),0.296146367247
diff(32),0.385466104541
diff(33),0.269499439494
diff(34),0.37116938713
diff(35),0.27583727156
diff(36),0.32432149754
diff(37),0.445226730088
diff(38),0.340957785005
diff(39),0.329015353895
diff(4),0.603391451725
diff(40),0.520397587529
diff(41),0.431008457072
diff(42),0.395099323341
diff(43),0.363771355054
diff(44),0.311524438369
diff(45),0.323825603084
diff(5),0.304850280412
diff(6),0.555643284136
diff(7),0.635783251921
diff(8),0.762246671175
diff(9),0.274179826392
